"Title","Publication.Date","Writer","Full.Text","Type"
"Le site des choix AADL 1 ouvert pour tout le monde le 08 septembre 2015",2015-09-07,"Rédaction Lkeria","Lkeria  a su d une source bien informée que le site internet des choix des site AADL 1 sera ouvert pour tous les souscripteurs AADL 1   2001 et 2002 dès demain le 08 septembre 2015 dans l après midi  disposition vient après la cacophonie qu a connu les premiers jours du lancement de ce service pour les souscripteurs AADL1  ou le site n était accessible que progressivement AUX souscripteurs  priorité donnée aux souscripteurs ayants actualité leur demande de logement les premierS  2001 puis 2002   Plus d information sur les étapes du choix du site pour préparer la journée de demain sur ce lien  ","aadl"
"Comment choisir son logement AADL souscripteurs 2013 et 2001 2002",2015-09-03,"Rédaction Lkeria","Lkeria  a enfin le détail de l application qu a mis en place l aadl pour le choix du site pour les souscripteurs 2001 2002 et 2013 disponible pour AADL2 à partir du 15 03 2016  seulement 7 wilayas sont concernées   y accéder Il faut se connecter à la page   avec le code et le mot de passe  cliquez sur   accéder au formulaire    Pour les souscripteurs 2001 2002 qui n ont pas leur mot de passe lisez notre article Récupération du mot de passe AADL 2001 2002  page suivante s affiche  c est une maquette qu a developpé Lkeria   ce n est pas le site de l aadl      résume les informations du demandeur et de la demande  Seront affichés Le code du souscripteur et la date d actualisation  son nom et prénom et sa date et lieu de naissance  ses informations professionnel  profession et nom de l employeur  et l adresse actuelle du souscripteur AADL 2001 2002    après  la page affiche la situation matrimoniale  marié  divorcé etc   du souscripteur et le nombre d enfant  partir du point 12 le souscripteur aura la main pour saisir les informations suivantes  12  numéro de téléphone   il faut faire très attention et revérifier le numéro au moins deux fois  n oubliez pas le 0 au début du numéro    votre adresse email   donnez votre email que vous consultez le plus souvent  attention au faute d orthographe comme gmail  au lieu de gmail   Relisez votre email 2 ou trois fois  il sera un très bon moyen de communication entre vous et l aadl   Répondre à la question Si le souscripteur est handicapé ou prend en charge un ou plusieurs handicapés par oui ou non  17  Le choix du site  Vous aurez une liste de site ou il faut mettre un numéro devant chaque nom de site  1 pour votre premier choix  2 pour le deuxième et ainsi de suite  exemple pour un souscripteur d Alger si ses choix sont   Ouled fayte après Ain el malha puis Kerouche après Sidi abellah et en dernier Bouinan il faut mettre sur la fiche   2 Ain malha1 Plateau Ouled fyate3 Kerrouche4 Nouvelle ville Sidi abdalah5 BouinanRegarder le reportage de Annarah TV pour plus d explications Remarques importantesSi vous refusez de choisir un site  le système le choisira a votre place sans possibilité de recours  résultat de votre affectation est définitif et ne fera objet d aucun recours  fausse déclaration de votre part entraînera l annulation de votre demande et des poursuites pénales   cliquez sur le bouton  valider les informations  pour finaliser et confirmer votre choix ","aadl"
"Récupération du mot de passe AADL 2001 2002",2015-09-02,"Rédaction Lkeria","L aadl propose la récupération du mot de passe pour les souscripteurs AADL 2001 et 2002 pour préparer l opération de choix du site qui a été lancé le 5 septembre 2015 au petit matin    ceux qui ont perdu leurs mot de passe aadl ils peuvent le récupérer sur cette page     et saisir leur code  le captcha  un numéro qui change à chaque fois  et le numéro de reçu de versement du paiement de la 1er tranche  les souscripteurs aadl 2001 et 2002 qui ont toujours en leur possession la fiche d actualisation il suffit de saisir le mot de passe qui se trouve en bas à droite de la fiche  voir la photo ci dessus    Pour les souscripteurs AADL 1 de la capitale ils pourront se déplacer à partir du 07 09 2015 au niveau du stade 05 juillet  Pour les autres wilayas ils peuvent passer au niveau des bureaux régionaux de l AADL pour récupérer leurs mots de passe  chance à tous ","aadl"
"livraison de 2000 logements aadl à Blida en 2016",2015-09-01,"Lotfi Ramdani","Un premier lot de logements AADL  2000 unités   en réalisation au niveau de la ville nouvelle de Bouinane  à l est de Blida  sera réceptionné durant le premier semestre 2016  a annoncé  lundi  le wali Abdelkader Bouazgui  Ce lot fait partie d un programme de 5000 unités AADL  fin prévue pour fin juillet 2016   prévues à la réalisation au niveau de cette ville nouvelle  qui englobera près de 52  logements de tous types  à l horizon 2019  a t il expliqué  lors d une rencontre  consacrée aux préparatifs de réception du projet  Des responsables locaux  des cadres du ministère de tutelle  dont le  directeur général de la Ville  Ali Bensaad  des représentants du ministère  des Finances et autres responsables chargés de l entreprise de la nouvelle ville de Bouinane  créée en 2006  ont pris part à cette rencontre  M  Bouazgui a insisté  à l occasion  sur l impératif de fédérer les efforts de tous les secteurs concernés  habitat  santé  les domaines  les travaux publics  le transport  l hydraulique  l énergie et autres   appelant chaque partie à poser les problèmes contraignant  à ce jour  la bonne marche des projets d équipements publics accompagnant ces logements  structures scolaires  de santé  de services et autres réseaux divers   Il a  notamment  souligné la nécessité de leur lancement  à temps   pour que ces commodités  soient prêtes au rendez vous   afin de recevoir les nouveaux résidants  dont le nombre avoisinera les 10  habitants   Il est inconcevable d attribuer des logements à leurs bénéficiaires  sans la réunion de toutes les conditions de vie nécessaires   a soutenu Bouazgui  Il a fait part  à cet effet  de la mise en place d une commission réunissant tous les secteurs concernés par ce projet  qui sera présidé par le chef de la daïra  et dont la mission consistera à trouver des solutions aux contraintes posées  Un rapport hebdomadaire sera élaboré par cette commission pour le soumettre aux parties en charge du projet  alors qu une rencontre mensuelle réunira les responsables locaux pour la mise au point d un plan de travail relatif au même projet  Le directeur des Domaines  M  Mansouri  a soulevé  à l occasion  le  refus de certains propriétaires terriens de céder leurs terres dans le cadre de l intérêt public  Une contrainte qui freine l avancée des travaux liés à la réalisation de réseaux de routes notamment  a t il souligné  signalant  néanmoins  la libération  à ce jour  de plus de 360 ha de terrains privés  et l indemnisation de leur propriétaires avec un montant de plus de 20 milliards Da  Le wali a  également  lancé un appel à tous les investisseurs du pays  à venir investir dans divers secteurs  sport  santé  éducation  tourisme  industrie   Une surface de 186 ha de la nouvelle ville de Bouinane a été affectée pour d éventuels investissements  a t il dit  soutenant que la  nouvelle ville ne doit pas se limiter qu aux logements AADL  et ne doit pas être une cité dortoir   Il a  en outre  insisté sur l impératif de lancement des projets de routes  d électricité  de gaz et d assainissement  au vue de leur caractère  prioritaire     APS","logement"
"Choix des sites aadl souscripteurs 2001 et 2002",2015-09-01,"Rédaction Lkeria","Choix du site aadl pour les souscripteurs AADL 2001 et 2002 Saisissez votre code et mot de passe pour accèder au choix des sites à partir du 5 septembre 2015 sur le site aadl  ","aadl"
"AADL : le résultat des premières vérifications auprès des conservations foncières connues",2015-08-26,"Lotfi Ramdani","Le journal Liberté a rapporté selon le chargé de communication du département de M  Abdelmadjid Tebboune  que l enquête diligentée par le Ministére de l habitat  a abouti  après les vérifications opérées par les Conservations foncières sur les souscripteurs des logements AADL de l année 2001  au débusquement de 119 indus souscripteurs sur les 6 000 concernés par les investigations  La même source a révélé que les mêmes services ont démasqué 76 autres souscripteurs pour possession de biens immobiliers  Ces derniers figuraient sur la liste transmise en mai 2015 par le ministère  comprenant 2 000 souscripteurs pour le programme AADL 2001 et répartis sur 32 wilayas  Sur la seconde liste  ce sont 43 cas positifs qui ont été débusqués sur 4 000 autres souscripteurs répartis sur 19 wilayas  vérifications des conservations foncières Le chargé de communication du ministère de l Habitat a révélé que ladite enquête a touché les souscripteurs et leur conjoint  soulignant que ceux possédant un bien immobilier en toute propriété seront radiés de la liste des bénéficiaires  alors que les dossiers des souscripteurs qui possèdent un bien en commun seront traités  au cas par cas     D autres listes sont envoyées aux services de la Conservation foncière  afin de s assurer que ni eux ni leur conjoint ne détiennent un lot de terrain à bâtir ou à usage d habitation  Signalons  enfin  que M  Tebboune avait annoncé  en avril dernier  que le certificat négatif serait exigé pour bénéficier d un logement public  AADL et LPP   source   article du journal liberté","logement"
"2% des souscripteurs AADL 1 possèdent déjà un logement",2015-08-24,"Lotfi Ramdani","Les opérations de vérification menées par les Conservations foncières sur les souscripteurs des logements AADL de l année 2001 ont décelé que 119 sur les 6  concernés par cette enquête possédaient déjà des biens immobiliers  a appris dimanche l APS auprès du ministère de l Habitat  de l urbanisme et de la ville  Sur une première liste transmise en mai dernier par le ministère  comprenant 2  souscripteurs pour le programme AADL 2001 et répartis sur 32 wilayas  les services de conservation foncière ont démasqué 76 souscripteurs pour possession de biens immobiliers tandis que les autres souscripteurs ont obtenu leur certificat négatif  explique le chargé de la communication au sein de ce ministère  Ahmed Madani  Par la suite  les mêmes services ont reçu une deuxième liste comprenant 4  autres souscripteurs répartis sur 19 wilayas et dont l opération de contrôle a mis au jour 43 autres cas positifs  c est à dire propriétaires de biens immobiliers  Cette enquête  poursuit M  Madani  a concerné les souscripteurs et leurs conjoints  soulignant que ceux possédant un bien immobilier en toute propriété seront radiés de la liste des bénéficiaires  alors que les dossiers des souscripteurs qui possèdent un bien en commun seront traités  au cas par cas   Le ministère poursuit l envoi des listes des souscripteurs aux services de conservation foncière afin de s assurer qu ils ne détiennent  ni eux ni leurs conjoints  un lot de terrain à bâtir ou un bien à usage d habitation  Le ministre de l Habitat  Abdelmadjid Tebboune  avait annoncé en avril dernier que le certificat négatif serait exigé pour bénéficier d un logement public notamment de type location vente AADL et promotionnel public  LPP   afin de garantir une meilleure transparence dans la distribution de logements  Par ailleurs  sur instruction du ministre de l Habitat  le directeur général de l Agence nationale de l amélioration et du développement du logement  AADL   Mohamed Tarek Belaribi  a mis fin aux fonctions du directeur de la société chargée de la gestion des cités AADL  Gest Immo   Djamel Eddine Taibi  Une décision que le ministère explique par la  négligence flagrante  dans la gestion des cités AADL qui souffrent d une  situation délabrée et alarmante   Cette décision est intervenue  selon la même source  sur la base de rapports révélant un gaspillage dans la gestion de fonds publics  des  trous financiers   anarchie et négligence dans la gestion de ces cités ainsi qu un mauvais accueil par le directeur en question des habitants de ces cités  Dans ce sillage  M  Madani souligne que le ministère de l Habitat vise l instauration d une nouvelle stratégie dans la gestion des cités AADL et l amélioration de leur situation en associant les entreprises de jeunes créées dans le cadre des dispositifs publics pour la promotion de l emploi  Dans ce sens  une réunion entre les responsables de l AADL et le directeur général de l Agence nationale de soutien à l emploi de jeunes  Ansej  se tiendra prochainement pour identifier les activités qui pourraient être prises en charge par ce type d entreprises pour contribuer dans la gestion des cités AADL  gardiennage  sécurité  hygiène  entretien des ascenseurs  jardinage  gestion des parkings     ","logement"
"2000 logements AADL livrés fin juin 2016 à Constantine",2015-08-18,"Lotfi Ramdani","Un premier quota de 2000 logements de type location vente  AADL 2  sera livré à Constantine  d ici juin 2016   a t on appris auprès du directeur régional de l agence nationale de l amélioration et de développement du logement  AADL   Ammar Khalfaoui a déclaré à l APS que cette première tranche fait partie d un ensemble de 8150 unités  en cours de réalisation dans la wilaya de Constantine  soulignant que le taux d avancement des travaux de 6000 logements à El Retba  dans la commune de Didouche Mourad  dont les travaux sont assurés par une entreprise chinoise  a atteint 15    tandis que le chantier de 2150 logements de la même formule  confié à une entreprise turque  vient d être lancé dans la nouvelle ville Ali Mendjeli  Les travaux entrepris avec des matériaux de construction locaux  conformément aux instructions de la tutelle  sont en cours  a t il ajouté  soulignant que les travaux de construction d un  bloc témoin  seront achevés  d ici à la fin du mois courant ou début du mois prochain  ce qui permettra au maître de l ouvrage  AADL  de  corriger les éventuelles lacunes  le cas échéant   Soulignant que ce programme est scindé en 50 50 pour cent pour les F3  70 m2  et les F4  85 m2    M  Khalfaoui a indiqué que sur 17  souscripteurs à AADL 2  16  ont été admis  Il a affirmé que 14  souscripteurs ont payé la première tranche de leurs futurs logements  précisant que le retrait des ordres de versement et le paiement de la première tranche sont toujours en cours  S agissant du programme AADL1 à la ville des ponts  M  Khalfaoui a souligné que les souscripteurs de ce programme  1446  ont été transférés et pris en charge par CNEP Banque  ajoutant que la construction de leurs logements est achevée et n attendent que les travaux de viabilisation pour leur attribution  d ici à la fin de l année en cours   Le même responsable a affirmé en outre  que le programme AADL concerne une large frange de la société  avant de préciser qu un  quota de 80 000 logements supplémentaires de la formule location vente a été introduit à l échelle nationale   La direction régionale de l Agence nationale de l amélioration et de développement du logement de Constantine couvre 10 wilayas    Jijel  Mila  Oum El Bouaghi  Setif  Batna  Bordj Bou Arreridj  M sila  Khechela   Biskra et Constantine    APS","logement"
"AADL d'Alger : le retrait des ordres de versement à Saïd Hamdine à partir du 1er septembre",2015-08-16,"Lotfi Ramdani","AADL Alger L opération des retraits des ordres de versement pour les souscripteurs AADL de la wilaya d Alger sera transférée au siège de la DG de l agence  à Saïd Hamdine  Bir Mourad Raïs  à partir du 1er septembre  indique dimanche l AADL dans un communiqué   La Direction Générale de l AADL informe l ensemble des souscripteurs de la wilaya d Alger du programme de la location vente 2001 2002 ayant actualisé leurs dossiers en 2013 ainsi que les souscripteurs du programme AADL 2 qu à partir du 1er septembre 2015  l opération de retraits des ordres de versement sera transférée au siège de la Direction générale  sis à Saïd Hamdine  Bir Mourad Raïs   souligne le communiqué  Cette opération se déroule actuellement au niveau du Complexe olympique du 5 juillet  rappelle l AADL sans préciser les raisons de ce transfert  lire ici l article de la source AADL Alger","logement"
"L'historique de l'ENPI et du logement LPP",2015-08-16,"Lotfi Ramdani","Un an après le lancement de l opération LPP  l Entreprise nationale de logement promotionnel  ENPI   a récolté 42 000 inscriptions  Elle a promis les pré affectations pour décembre prochain  mais on commence à semer le doute sur les capacités de l ENPI à livrer les logements dans les délais promis  A travers les prix qu elle affiche pour le logement fini  l ENPI a déstabilisé la spéculation sur l immobilier  En chiffres  un logement de 100 m2 est cédé à l ENPI pour 10 millions de dinars  alors qu il est vendu chez les privés pour trois fois ce prix  L historique de l ENPI et du logement LPP Mais  pour la rendre opérationnelle  cette entreprise a dû traverser une longue et pénible phase de réadaptation  suite à l absorption de 19 EPLF  Un constat amer Jamais  depuis l Indépendance  une entreprise publique n a suscité autant d intérêt de la part du Gouvernement  Plusieurs réunions au sommet de l Etat ont été consacrées à cette entreprise pour assainir sa situation et la replacer dans son rôle de promoteur public  Le tournant a eu lieu le 23 juillet 2008  Lors d une réunion du Conseil des ministres  le Gouvernement s est rendu compte de l inefficacité du dispositif des EPLF  Entreprises de promotion du logement familiale  et surtout l aspect parasitaire de leur activité  L état des lieux laissait perplexes les membres du Gouvernement  notamment les lourdes dettes qui paralysaient la trésorerie de ces sociétés  les pratiques de double  voire triple affectation des logements et surtout les chantiers qui étaient achevés avec des retards inacceptables  avec en prime  des réévaluations de budgets  Le chef de l Etat a lui même ordonné la dissolution des EPLF et la prise de mesures adéquates pour la gestion de cet héritage  L instruction n 11 SP CG du 29 juillet 2008 allait révéler plus de détails sur l énorme gâchis provoqué au préjudice du Trésor public  Il fallait mobiliser une armée d agents et de cadres de l IGF  l Inspection générale des finances  pour éplucher les comptes des 19 EPLF  avant de procéder à leur dissolution  Les entreprises d Alger  de Béjaïa et surtout de Boumerdès étaient particulièrement dans l oil du cyclone  En novembre 2008  un rapport de l IGF révèle des lacunes importantes dans le fonctionnement des entreprises publiques de promotion du logement  Le rapport note la présence de  nombreuses faiblesses et discordances  entre les états physiques et comptables  relatifs aux biens immobiliers  mobiliers et avoirs financiers  Le volet des agrégats financiers était également alarmant du fait de l importance de l endettement des EPLF  en rapport avec les créances détenues par celles ci  Le grand déséquilibre est constaté dans les chiffres de l EPLF Boumerdès  L IGF notait également un faible taux de recouvrement des créances de ces entreprises et attribuait à ce fait  le déséquilibre de la structure des bilans financiers  Au chapitre gestion  l IGF constatait une débandade presque institutionnalisée avec des assiettes sans titre de propriété  des projets en cours de réalisation  sans permis de construire et sans conformité  De même  il a été relevé le recours aux passations de marchés en mode gré à gré  sans justification aucune  De quoi mettre  en prison  bon nombre de gestionnaires de ces EPLF  Fusion Absorption EPLF   ENPI Le 22 janvier 2009  il a été procédé à la dissolution des 19 EPLF  Leur patrimoine est hérité par une nouvelle EPE  ENPI  Entreprise nationale de promotion immobilière   créée le 6 mai 2009  conformément à la résolution n 05 92 du Conseil des participations de l Etat  CPE  et la directive n 173 PM du Premier ministre  portant la mise en ouvre des décisions du Conseil des ministres  Pour dynamiser davantage le rôle de l ENPI  Ahmed Ouyahia consacre  le 26 septembre 2009  un Conseil interministériel à cette nouvelle entreprise  Mais l héritage était trop lourd à supporter  Le 26 mai 2009  l ENPI absorbe officiellement les actifs des 18 EPLF  mais le cas de l entreprise de Boumerdès était trop compliqué  A cette date  les comptes sociaux de l EPLF Boumerdès n étaient pas encore certifiés pour les exercices de 2006  2007 et 2008  Un autre Conseil interministériel sera tenu le 26 septembre 2009 pour statuer sur cette entreprise de Boumerdès  dont les chiffres sur la dette envers la Cnep faisaient l objet d une grande discorde  Il fallait attendre jusqu à 2010 pour pouvoir intégrer Boumerdès dans l ENPI  Le 13 avril 2010  c est encore le Premier ministre qui va se manifester à travers l instruction n 351 pour ordonner le rachat  par le Trésor public  de l ensemble des créances de l ENPI  La facture s élevait à quelque 11 milliards de dinars    Cette ENPI devient un casse tête pour le Premier ministre qui devra lui consacrer la séance du CPE  tenue le 1er avril 2012  pour décider du rachat  par le Trésor public  de la dette de l entreprise auprès de la Cnep  On parle ici de 56 3 milliards de dinars  dont 11 milliards contractés par la seule EPLF de Boumerdès  Même la BEA est appelée à la rescousse pour rééchelonner  sur une durée de 10 ans  la dette de l ENPI  1 27 milliard de dinars   Pourtant  tout cet effort consenti par les pouvoirs publics ne sera pas ressenti sur le terrain  Les programmes de construction de logements promotionnels avançaient très lentement  Bien en deçà des résultats attendus par le Gouvernement  Pire encore  le 28 novembre 2012  un rapport de l IGF mettait en cause la gestion de l ENPI  Les inspecteurs de cette institution ont découvert que celle ci a procédé à l ouverture d un nouveau compte au niveau de la BDL et considéraient qu il s agissait d une manière illégale pour échapper au contrôle des dépenses exercé par la BEA  Le ministre de l Habitat ordonne  le même jour  le limogeage du patron de l ENPI et le dépôt d une plainte auprès de la gendarmerie  Thérapie de choc Sentant l importance du rôle qu elle doit jouer dans le programme de logement promotionnel  les autorités ont continué à soutenir l effort de redressement de l ENPI  Le 21 janvier 2014  le CPE a décidé une nouvelle modification des statuts de l entreprise  Elle est désormais sortie des griffes de la SGP Indjab et placée sous l autorité directe du ministre de l Habitat  Après une dernière opération de rééchelonnement des dettes fiscales  qui datent de l ère des EPLF  l ENPI est assujettie à un rôle de réalisateur du Logement promotionnel public LPP  Dans cette formule de LPP  l ENPI se situe entre deux entités  Il y a d abord les OPGI qui réalisent  pour leur propre compte  des logements promotionnels  mais leur apport demeure très faible  12    On trouve ensuite les promoteurs privés qui  réalisent 17  du volume global en logement promotionnel  mais n obéissent à aucune limitation de prix  Dans la plupart des cas  les privés cèdent les logements à 200 voir 300 000 dinars le m   Le pic est enregistré chez le promoteur émirati  Emiral  qui a fixé les prix de cession de ces logements à 420 000 dinars le m   A l ENPI  le mètre carré est vendu à seulement 100 000 dinars  De quoi déstabiliser ce marché  déjà fébrile  A ce titre  l ENPI est le seul refuge pour les cadres dits de la classe moyenne supérieure  Autrement dit  les cadres du secteur public ou privé qui ne sont pas éligibles aux autres programmes de l Etat  tels que l AADL  C est à ce titre que Abdelmalek Sellal a signé le décret exécutif n 14 203 du 15 juillet 2014  portant sur le LPP  qui est désormais inscrit comme une opération d utilité publique  Pour ce programme  on estime  à 50 000 unités  la demande en LPP  soit l équivalent du volume réservé à la première opération AADL  Un autre programme de LPP est envisageable  dit on  si la demande se renouvelle  Un an après son lancement  cette opération a drainé 42 000 demandes  30 000 candidats ont déjà versé la première tranche et recevront les notifications de pré affectation en décembre prochain  Ce programme de LPP  qui constitue un défi pour l ENPI  est peut être une dernière chance pour sa survie  Car  sept ans après la dissolution des EPLF  l entreprise baigne encore dans des problèmes dont elle a hérité ","logement"
"Le certificat négatif ne sera pas demandé aux souscripteurs",2015-08-14,"Lotfi Ramdani","Ces les déclaration du Directeur Général du logement au ministère de l habitat  Kamel NASRI   sur les ondes de la chaine 3 qui déclaré hier le 12 avril 2015  C est aux promoteurs immobilier en charges des différents  programmes de logement public de faire la demande du certificat négatif aux domaines et n ont pas par les souscripteurs  AADL et LPP ndlr    Le certificat négatif ne sera pas demandé Cette décision vient après la vague d indignation qu a suscité cette dernière mesure aux seins des souscripteurs AADL et LPP qui voyait dans cet énième documents  une manière de gagne du temps  Le DG du logemetn rappemel que 10  de la première tranche sera retenu dans le cas ou le certificat négatif fait ressortir une propriété  sauf un studio ou un bien immobilier dans l indivision  du demandeur de logement public  C est presque une demande explicite au fraudeur de retirer leur demande dès ç présent et récupérer la totalité de leur dépot  21 million pour un F3 et 27 million pour un F4 AADL et 50 millions puor les souscripteurs LPP   Le certificat négatif ne sera pas demandé","logement"
"La taxe d'habitation pour tout le monde",2015-08-10,"Lotfi Ramdani","Finies les exonérations sur les propriétés bâties qui bénéficiaient aux contribuables des communes rurales  Le gouvernement vient d élargir la taxe d habitation à l ensemble du territoire national  et ce  explique t on  afin de renforcer l autonomie d intervention des communes dans la réhabilitation du parc immobilier  À la faveur de la loi de finances complémentaire pour 2015  la taxe d habitation  appliquée jusque là à travers les seules communes des chefs lieux de daïra  548   a  en effet  été élargie à l ensemble des 1 541 communes du pays  Cette taxe annuelle due pour les locaux à usage d habitation ou professionnel  fixée entre 300 et 1 200 DA  entre 600 et 2 400 dans les wilayas d Alger  d Oran  de Constantine et d Annaba  alimentera le Fonds spécial de réhabilitation du parc immobilier  Dans ce contexte  il convient de rappeler que la taxe d habitation a été instituée en 2003 pour contribuer à l entretien des équipements collectifs et des services liés à l exploitation des bâtisses qui est financé par le Fonds de réhabilitation du parc immobilier  lequel est alimenté essentiellement par les subventions de l État  Or  la chute des prix du baril a fait ressentir le besoin et a contraint le gouvernement à trouver une autre source de financement  C est la Sonelgaz qui est chargée du recouvrement de cette taxe  laquelle est intégrée dans la facture d électricité et de gaz    Ce n est néanmoins pas la seule exonération fiscale supprimée par le gouvernement en matière de foncier   Les immeubles ou parties d immeuble déclarés insalubres ou qui menacent ruine et désaffectés   jusque là exonérés de la taxe foncière sur les propriétés bâties  cessent désormais de bénéficier de ladite exonération  lorsqu ils sont ultérieurement cédés à d autres personnes pour les habiter  affectés à une location ou à un usage autre que l habitation   et ce   à compter du 1er janvier de l année immédiatement postérieure à celle de la réalisation de l événement ayant entraîné la perte de l exonération  ","logement"
"Pré-affectation AADL et LPP fin décembre «Inchalaha»",2015-08-02,"Rédaction Lkeria","Ça sera la énième fois que la date de livraison des prés affectation des logements AADL et LPP est décalée en une année  Prévue initialement à l été 2015  cette échéance s est vue décaler après le mois sacré de Ramdhan  Après l avant dernière visite du Ministre de l habitat Abdelmadjid Tebboune à la Grande Mosquée d Alger et vu l avancement timide des chantiers AADL et LPP pendant l été  voir la vidéo du constructeur Arabe Constructeur qui se plein du manque de sérieux des manouvre algériens durant le mois de Ramdhan  la date des prés affectation des deux formules publics est décalée  encore une fois  à la rentrée sociale  Hier  le 1er août 2015  Monsieur Tebboune en marge de sa visite d inspection de la Grande Mosquée annonce un quantième report de cette échéance pour la fin du mois de décembre 2015  Inchalah   précisant que les prés affectation ne pouvant êtres établies si les projets n atteignent pas 60 à 70  de taux d avancement  Aussi  un site internet sera mis à la disposition des souscripteurs AADL 2001   2002 afin de choisir l emplacement de leur futur appartement en attendant les prés affectation ","aadl"
"35 constructions illicites à COnstantine démolies",2015-07-28,"Lotfi Ramdani","35 bâtisses construites illicitement dans un lotissement tracé en dehors de la réglementation  sur un terrain agricole situé sur le périmètre de l aéroport de Constantine  ont été démolies  dimanche  sur décision des autorités locales  a t on constaté  35 constructions illicites Bâties sans permis de construire et hors du plan d occupation du sol  POS  et du plan directeur d aménagement urbain  Pdau   ces constructions de deux étages et plus ont été démolies et leurs propriétaires invités à se rapprocher des services concernés de l Assemblée populaire communale  APC  d El Khroub pour  bénéficier des éventuels arrangements possibles   Les personnes concernées par cette opération de démolitions avaient acquis des lots de terrain appartenant à un particulier avec actes dits  orfi   non enregistrés  avant d entamer  parfois au moyen de sommes allant jusqu à 10 millions de dinars  des constructions demeures de manière totalement illégale  a t on recueilli sur place  Cette action a été engagée avec l appui d un important dispositif mis en place par les services de sécurité qui ont supervisé l opération et sont intervenus  sans la moindre violence  là où des résistances ont été signalées  a t on également observé   35 constructions illicites","logement"
"Les 1300 logements AADL de El Tarf lancés bientôt",2015-07-26,"Lotfi Ramdani","Un ensemble de 1  logements location vente gérés par l Agence nationale d amélioration et de développement du logement  AADL   inscrits à l indicatif de la wilaya d El Tarf en 2013  sera lancé en travaux  avant la fin de l année   a indiqué  dimanche  le secrétaire général de la wilaya  Mustapha Teyar  Les 1300 logements AADL de El Tarf lancés Intervenant à l occasion d un conseil de wilaya consacré au secteur de l habitat  ce responsable a précisé que les 1  logements en question  dont 1  sont prévus à El Tarf et 300 à El Kala  seront lancés en chantier  en décembre 2015 au plus tard   M  Teyar qui répondait à une préoccupation soulevée par un élu de Drean  relative au retard enregistré dans l entame des travaux et au sort réservé au quota de 200 logements de même type attribué initialement à cette commune  a a indiqué que les 1  logements faisaient partie d une  première phase d un programme national portant sur un total de 230  unités   Les entreprises chargées de la réalisation de ce projet ont été désignées  a t il affirmé  soulignant que la  deuxième phase où figurent les 200 unités de Drean  sera concrétisée dans le cadre d un  programme complémentaire  Les 1300 logements AADL de El Tarf lancés APS","logement"
"",2015-07-24,"Rédaction Lkeria","16 2015     440  LPP      5000              440  LPP        6        29          12           5000         2015                     15    28                           35                2015","logement"
"500 logements AADL pour les travailleurs de la sûreté à Ain Temouchent",2015-07-23,"Lotfi Ramdani","Un quota de 500 logements location vente AADL est réservé aux travailleurs de la sûreté de wilaya d Ain Temouchent dans le cadre du programme de 25  logements du même type affecté à la DGSN  apprend on mercredi du chef de service santé  action sociale et sports à la Sûreté de wilaya  500 logements AADL Initialement prévu en LPA  logement public aidé  et reconverti ensuite en AADL  ce programme a consacré pas moins de 500 logements aux travailleurs de la police et assimilés du secteur dans la wilaya  a indiqué le commissaire principal Boudaoud Ahmed  en marge de la cérémonie de célébration de la fête nationale de la police  Toutes les procédures administratives concernant cette opération  qui touche également les policiers des villes environnantes des wilayas de Tlemcen  Sidi Bel Abbes et Oran  conformément aux instructions du Directeur général de la Sûreté nationale  ont été accomplies  notamment l étude des dossiers par une commission locale  a t on ajouté   Ces dossiers ont été envoyés à la DGSN pour l enquête des archives immobilières qui a été achevée et nous attendons les ordres de versement   a souligné le même responsable  signalant qu un crédit de 250  DA représentant le premier versement a été octroyé à chacun des intéressés  Ce montant sera ensuite prélevé des salaires à raison de 7  dinars mois  Par ailleurs  certains travailleurs du secteur habitant le monde rural ont bénéficié de l aide apportée à l habitat rural par les pouvoirs publics pour la construction de leurs maisons  Abritée par le siège de la sûreté de wilaya d Ain Temouchent  la cérémonie de la fête de la police a été marquée par une exposition mettant en exergue les activités de ce corps    Le bilan de ces activités fait état de 82 morts dans des accidents de la circulation enregistrés durant le premier semestre 2015  ainsi que la saisie par les services de la police judiciaire de 422 807 kg de kif traité  1 1 gr de cocaïne et 1  comprimés anxiolytiques  A cette occasion  les autorités locales ont honoré 72 agents promus à des grades supérieurs  des retraités et les lauréats aux examens de fin d année scolaire  dont la détentrice de la meilleure moyenne nationale à l examen du BAC  19 08 20   Jedal Hanane du lycée Lotfi d El Amria  En outre  un hommage à titre posthume a été rendu aux quatre policiers décédés dernièrement dans l exercice de leurs fonctions suite à un accident de la circulation  Les familles des défunts Ouahrani  Kasmi  Merzougui et Goumidi ont été honorées ","logement"
